t1,t2,t3,t4,t5,t6,nearest metro station distance(in km),type of road,nearest police chowki,average dist from police chowki,number of police chowki,population density,rape,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,sum,crm
0,0,0,0,0,1,12,district road,2.2,14,6,2731929,280,595,150,39,0,406,665,0,1138.774
0,0,0,0,0,1,3,district road,0.4,10,4,2292958,234,494,86,57,99,248,68,0,599.4664
0,0,0,0,0,1,11,district road,0.4,3,2,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,10,district road,0.9,4,2,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,9,district road,1.1,12,4,2731929,280,595,150,39,0,406,665,0,1138.774
0,0,0,0,0,1,6.1,major district road,0.156,15,3,2292958,234,494,86,57,99,248,68,0,599.4664
0,0,0,0,0,1,0.55,major district road,0.2,5,4,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,0.66,district road,0.071,5,5,2731929,280,595,150,39,0,406,665,0,1138.774
0,0,0,0,0,1,1.1,district,1.6,8,3,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,5.5,major district road,1.1,6,6,2543243,251,484,137,64,52,223,63,0,592.7376
0,0,0,0,0,1,0.1,major district road,0.6,10,5,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,1,major district road,3,13,2,116000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,4.5,major district road,4.6,4,2,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,0.2,district road,7,8,6,887978,60,180,42,12,16,109,18,0,202.3788
0,0,0,0,0,1,2.9,major district road,3,9,5,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,1,district,0.75,3,2,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,0.45,district,1.2,11,3,2292958,234,494,86,57,99,248,68,0,599.4664
0,0,0,0,0,1,9.9,district,0.24,15,5,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,2.4,district,1.163,13,2,2292958,234,494,86,57,99,248,68,0,599.4664
0,0,0,0,0,1,0.8,district road,0.06,3,2,2543243,251,484,137,64,52,223,63,0,592.7376
0,0,0,0,0,1,2,district road,0.055,4,5,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,3,district road,0.044,9,5,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,1.5,major district road,1.2,7,2,116000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,major district road,0.45,6,6,3656539,165,404,109,23,61,208,51,0,475.1604
0,0,0,0,0,1,26.5,major district road,4.8,3,6,2731929,280,595,150,39,0,406,665,0,1138.774
0,0,0,0,0,1,0.55,major district road,1.1,9,2,2292958,234,494,86,57,99,248,68,0,599.4664
0,0,0,0,0,1,5,major district road,8.8,7,2,2292958,234,494,86,57,99,248,68,0,599.4664
0,0,0,0,0,1,3.2,major district road,6.5,10,5,2292958,234,494,86,57,99,248,68,0,599.4664
0,0,0,0,0,1,0.152,major district road,0.45,4,6,2731929,280,595,150,39,0,406,665,0,1138.774
0,0,0,0,0,1,0.75,major district road,1.8,15,4,2731929,280,595,150,39,0,406,665,0,1138.774
0,0,0,0,0,1,0.16,major district road,6.7,13,3,2731929,280,595,150,39,0,406,665,0,1138.774
0,0,0,0,0,1,0.455,major district road,0.8,13,3,2292958,234,494,86,57,99,248,68,0,599.4664
0,0,0,0,0,1,0.8,major district road,1.1,3,5,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,1,major district road,2.7,13,3,116000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0.935,major district road,1.7,6,4,2292958,234,494,86,57,99,248,68,0,599.4664
0,0,0,0,0,1,1,major district road,0.6,14,2,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,1,major district road,1.3,14,2,2731929,280,595,150,39,0,406,665,0,1138.774
0,0,0,0,0,1,2,major district road,0.5,15,3,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,0.28,major district road,0.4,5,6,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,1,major district road,0.2,4,2,2543243,251,484,137,64,52,223,63,0,592.7376
0,0,0,0,0,1,1,major district road,1.2,12,4,2292958,234,494,86,57,99,248,68,0,599.4664
0,0,0,0,0,1,8.1,major district road,10.5,12,5,2292958,234,494,86,57,99,248,68,0,599.4664
0,0,0,0,0,1,0.278,major district road,0.8,6,3,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,1.2,major district road,5.5,4,5,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,2,major district road,0.9,5,2,2292958,234,494,86,57,99,248,68,0,599.4664
0,0,0,0,0,1,0.044,major district road,0.3,11,3,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,3.2,major district road,0.1,9,2,582320,91,212,54,9,26,123,37,0,259.3448
0,0,0,0,0,1,0.6,major district road,0.7,14,4,2292958,234,494,86,57,99,248,68,0,599.4664
0,0,0,0,0,1,2.8,major district road,1.1,4,2,2292958,234,494,86,57,99,248,68,0,599.4664
