t1,t2,t3,t4,t5,t6,nearest metro station distance(in km),type of road,nearest police chowki,average dist from police chowki,number of police chowki,population density,rape,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,sum,crm
1,0,0,0,0,0,1.5,district road,2,15,6,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,11,major distict road,0.4,8,5,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.6,major district road,0.5,4,2,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1.1,district road,0.85,8,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1.5,major district road,0.4,3,4,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,0.95,district road,0.3,12,4,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,4,district road,523.8,7,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.55,district road,4.1,11,6,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1,district road,0.7,11,4,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,12,district road,2.2,8,2,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,3,district road,0.4,7,2,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,11,district road,0.4,5,4,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,10,district road,0.9,3,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,9,district road,1.1,7,2,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,6.1,major district road,0.156,5,5,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,0.55,major district road,0.2,7,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.66,district road,0.071,3,3,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,1.1,district,1.6,7,4,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,5.5,major district road,1.1,12,5,2543243,251,484,137,64,52,223,63,2279.76,328.28544
1,0,0,0,0,0,0.1,major district road,0.6,15,2,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1,major district road,3,11,4,116000,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,4.5,major district road,4.6,10,2,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.2,district road,7,9,4,887978,60,180,42,12,16,109,18,778.38,112.08672
1,0,0,0,0,0,2.9,major district road,3,13,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1,district,0.75,3,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.45,district,1.2,7,5,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,9.9,district,0.24,4,6,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,2.4,district,1.163,11,2,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,0.8,district road,0.06,9,6,2543243,251,484,137,64,52,223,63,2279.76,328.28544
1,0,0,0,0,0,2,district road,0.055,10,3,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,3,district road,0.044,10,4,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1.5,major district road,1.2,3,2,116000,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,major district road,0.45,10,6,3656539,165,404,109,23,61,208,51,1827.54,263.16576
1,0,0,0,0,0,26.5,major district road,4.8,14,4,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,0.55,major district road,1.1,14,3,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,5,major district road,8.8,12,6,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,3.2,major district road,6.5,3,5,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,0.152,major district road,0.45,4,2,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,0.75,major district road,1.8,9,6,2731929,280,595,150,39,0,406,665,4379.9,630.7056
